Data operacji;Typ;Tytul;Kwota;Notatka;Nazwa kategorii;Nazwa kategorii;Nazwa konta;Tagi
04-01-2018;1;;42.20;;Jedzenie;;Konto osobiste;
04-01-2018;1;autobus;16.00;;;;Konto osobiste;
04-01-2018;1;doladowanie;30.00;;Telefon;Elektronika;Konto osobiste;
04-01-2018;1;;13.95;;Restauracja;Jedzenie;Konto osobiste;
05-01-2018;1;;15.05;;Jedzenie;;Konto osobiste;
05-01-2018;1;bilet;120.00;;;;Konto osobiste;
05-01-2018;1;;1045.00;;Telefon;Elektronika;Konto osobiste;
05-01-2018;1;;25.58;;Akcesoria;Elektronika;Konto osobiste;
06-01-2018;1;;2.99;;Jedzenie;;Konto osobiste;
08-01-2018;1;;23.50;;Jedzenie;;Konto osobiste;
09-01-2018;1;;15.85;;Jedzenie;;Konto osobiste;
10-01-2018;1;;32.81;;Jedzenie;;Konto osobiste;
10-01-2018;1;;31.59;;Akcesoria;Elektronika;Konto osobiste;
11-01-2018;1;;4.80;;Jedzenie;;Konto osobiste;
11-01-2018;1;;12.35;;Jedzenie;;Konto osobiste;
12-01-2018;1;;9.12;;Jedzenie;;Konto osobiste;
12-01-2018;1;;18.45;;Jedzenie;;Konto osobiste;
13-01-2018;1;;9.82;;Jedzenie;;Konto osobiste;
15-01-2018;1;;39.95;;Jedzenie;;Konto osobiste;
15-01-2018;1;;6.44;;Jedzenie;;Konto osobiste;
15-01-2018;1;;10.50;;Gry;Rozrywka;Konto osobiste;
15-01-2018;1;;10.65;;Jedzenie;;Konto osobiste;
16-01-2018;1;;18.05;;Jedzenie;;Konto osobiste;
17-01-2018;1;;4.00;;Jedzenie;;Konto osobiste;
17-01-2018;1;;16.56;;Jedzenie;;Konto osobiste;
18-01-2018;1;;14.25;;Jedzenie;;Konto osobiste;
19-01-2018;0;Stypendium;1350.00;;Wyp�ata;Praca;Konto osobiste;
19-01-2018;1;Plus dlug;442.00;;Czynsz;Dom;Konto osobiste;
19-01-2018;0;;7.50;;;;Konto osobiste;
19-01-2018;1;;21.56;;Jedzenie;;Konto osobiste;
22-01-2018;1;;28.00;;Jedzenie;;Konto osobiste;
22-01-2018;1;;1.30;;Jedzenie;;Konto osobiste;
23-01-2018;1;;2.50;;Jedzenie;;Konto osobiste;
23-01-2018;1;;14.05;;Jedzenie;;Konto osobiste;
24-01-2018;1;;31.59;;Akcesoria;Elektronika;Konto osobiste;
24-01-2018;1;;17.26;;Restauracja;Jedzenie;Konto osobiste;
24-01-2018;1;;14.00;;Restauracja;Jedzenie;Konto osobiste;
25-01-2018;1;;16.04;;Jedzenie;;Konto osobiste;
26-01-2018;1;;7.73;;Jedzenie;;Konto osobiste;
29-01-2018;1;Telefon tato;130.90;;Telefon;Elektronika;Konto osobiste;
29-01-2018;1;;18.50;;Jedzenie;;Konto osobiste;
29-01-2018;1;;52.59;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
29-01-2018;1;Telefon mama;35.76;;Telefon;Elektronika;Konto osobiste;
29-01-2018;1;;44.90;;Zdrowie i uroda;;Konto osobiste;
30-01-2018;1;;4.00;;Jedzenie;;Konto osobiste;
30-01-2018;1;;16.00;;Jedzenie;;Konto osobiste;
31-01-2018;1;;8.27;;Jedzenie;;Konto osobiste;
31-01-2018;1;;6.60;;Gry;Elektronika;Konto osobiste;
31-01-2018;1;;15.00;;Fryzjer;Zdrowie i uroda;Konto osobiste;
01-02-2018;1;;18.37;;Jedzenie;;Konto osobiste;
02-02-2018;1;;13.65;;Jedzenie;;Konto osobiste;
03-02-2018;1;;2.50;;Jedzenie;;Konto osobiste;
09-02-2018;1;;16.00;;Samoch�d;;Konto osobiste;
09-02-2018;1;;30.00;;Telefon;Elektronika;Konto osobiste;
13-02-2018;1;;38.04;;Jedzenie;;Konto osobiste;
13-02-2018;1;;23.48;;Zdrowie i uroda;;Konto osobiste;
14-02-2018;1;;8.57;;Jedzenie;;Konto osobiste;
15-02-2018;0;;1300.00;;Wyp�ata;Praca;Konto osobiste;
15-02-2018;1;;624.00;;Czynsz;Dom;Konto osobiste;
15-02-2018;1;;22.03;;Jedzenie;;Konto osobiste;
17-02-2018;1;;10.64;;Jedzenie;;Konto osobiste;
17-02-2018;1;;9.71;;Gry;Rozrywka;Konto osobiste;
18-02-2018;1;;24.00;;Gry;Rozrywka;Konto osobiste;
19-02-2018;1;;29.06;;Jedzenie;;Konto osobiste;
20-02-2018;1;;14.00;;Restauracja;Jedzenie;Konto osobiste;
20-02-2018;1;;12.13;;Jedzenie;;Konto osobiste;
20-02-2018;1;;78.00;;Ksi��ki;Rozrywka;Konto osobiste;
20-02-2018;1;Audiobook ;59.00;;Rozrywka;;Konto osobiste;
22-02-2018;1;;11.46;;Jedzenie;;Konto osobiste;
22-02-2018;1;;4.80;;Jedzenie;;Konto osobiste;
23-02-2018;1;;15.53;;Jedzenie;;Konto osobiste;
25-02-2018;1;;16.00;;Samoch�d;;Konto osobiste;
25-02-2018;1;;13.15;;Jedzenie;;Konto osobiste;
26-02-2018;1;;25.57;;Jedzenie;;Konto osobiste;
26-02-2018;0;;150.00;;;;Konto osobiste;
27-02-2018;1;;12.60;;Jedzenie;;Konto osobiste;
27-02-2018;1;;2.50;;Jedzenie;;Konto osobiste;
27-02-2018;1;;4.48;;Jedzenie;;Konto osobiste;
27-02-2018;1;Telefon mama ;35.65;;;;Konto osobiste;
27-02-2018;1;Telefon tata ;120.30;;;;Konto osobiste;
28-02-2018;1;;7.45;;Jedzenie;;Konto osobiste;
28-02-2018;1;;14.86;;Jedzenie;;Konto osobiste;
01-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
01-03-2018;1;;36.45;;Jedzenie;;Konto osobiste;
02-03-2018;1;;14.00;;Restauracja;Jedzenie;Konto osobiste;
02-03-2018;1;;18.18;;Jedzenie;;Konto osobiste;
05-03-2018;1;;5.00;;Jedzenie;;Konto osobiste;
05-03-2018;1;;17.64;;Jedzenie;;Konto osobiste;
06-03-2018;1;;18.75;;Jedzenie;;Konto osobiste;
06-03-2018;1;;8.07;;Jedzenie;;Konto osobiste;
07-03-2018;1;;5.60;;Jedzenie;;Konto osobiste;
07-03-2018;1;;20.74;;Jedzenie;;Konto osobiste;
07-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
08-03-2018;1;;10.96;;Jedzenie;;Konto osobiste;
09-03-2018;1;;14.18;;Jedzenie;;Konto osobiste;
09-03-2018;1;;14.84;;Jedzenie;;Konto osobiste;
09-03-2018;1;;22.04;;Jedzenie;;Konto osobiste;
10-03-2018;1;;7.17;;Jedzenie;;Konto osobiste;
10-03-2018;1;;7.97;;Jedzenie;;Konto osobiste;
11-03-2018;1;;9.95;;Jedzenie;;Konto osobiste;
12-03-2018;1;;21.93;;Jedzenie;;Konto osobiste;
12-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
12-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
13-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
13-03-2018;1;;16.16;;Jedzenie;;Konto osobiste;
13-03-2018;1;;9.78;;Jedzenie;;Konto osobiste;
14-03-2018;1;;3.20;;Jedzenie;;Konto osobiste;
14-03-2018;1;;8.46;;Jedzenie;;Konto osobiste;
15-03-2018;1;;3.20;;Jedzenie;;Konto osobiste;
15-03-2018;1;;10.97;;Jedzenie;;Konto osobiste;
16-03-2018;1;;21.85;;Jedzenie;;Konto osobiste;
18-03-2018;1;;21.00;;Restauracja;Jedzenie;Konto osobiste;
19-03-2018;1;;2.50;;Jedzenie;;Konto osobiste;
19-03-2018;1;;21.61;;Jedzenie;;Konto osobiste;
20-03-2018;1;;9.70;;Jedzenie;;Konto osobiste;
20-03-2018;1;;520.00;;Dom;;Konto osobiste;
20-03-2018;1;;14.37;;Jedzenie;;Konto osobiste;
20-03-2018;0;;1350.00;;Wyp�ata;Praca;Konto osobiste;
21-03-2018;1;;19.19;;Jedzenie;;Konto osobiste;
21-03-2018;1;;8.10;;Jedzenie;;Konto osobiste;
23-03-2018;1;;30.00;;Telefon;Elektronika;Konto osobiste;
23-03-2018;1;;12.99;;Kosmetyki;Zdrowie i uroda;Konto osobiste;
23-03-2018;1;;9.06;;Jedzenie;;Konto osobiste;
