,Date,Type,Title,Amount,Note,Category,Subcategory,Account,Tags
0,04-01-2018,1,,42.2,,Jedzenie,,Konto osobiste,
1,04-01-2018,1,autobus,16.0,,,,Konto osobiste,
2,04-01-2018,1,doladowanie,30.0,,Telefon,Elektronika,Konto osobiste,
3,04-01-2018,1,,13.95,,Restauracja,Jedzenie,Konto osobiste,
4,05-01-2018,1,,15.05,,Jedzenie,,Konto osobiste,
5,05-01-2018,1,bilet,120.0,,,,Konto osobiste,
6,05-01-2018,1,,1045.0,,Telefon,Elektronika,Konto osobiste,
7,05-01-2018,1,,25.58,,Akcesoria,Elektronika,Konto osobiste,
8,06-01-2018,1,,2.99,,Jedzenie,,Konto osobiste,
9,08-01-2018,1,,23.5,,Jedzenie,,Konto osobiste,
10,09-01-2018,1,,15.85,,Jedzenie,,Konto osobiste,
11,10-01-2018,1,,32.81,,Jedzenie,,Konto osobiste,
12,10-01-2018,1,,31.59,,Akcesoria,Elektronika,Konto osobiste,
13,11-01-2018,1,,4.8,,Jedzenie,,Konto osobiste,
14,11-01-2018,1,,12.35,,Jedzenie,,Konto osobiste,
15,12-01-2018,1,,9.12,,Jedzenie,,Konto osobiste,
16,12-01-2018,1,,18.45,,Jedzenie,,Konto osobiste,
17,13-01-2018,1,,9.82,,Jedzenie,,Konto osobiste,
18,15-01-2018,1,,39.95,,Jedzenie,,Konto osobiste,
19,15-01-2018,1,,6.44,,Jedzenie,,Konto osobiste,
20,15-01-2018,1,,10.5,,Gry,Rozrywka,Konto osobiste,
21,15-01-2018,1,,10.65,,Jedzenie,,Konto osobiste,
22,16-01-2018,1,,18.05,,Jedzenie,,Konto osobiste,
23,17-01-2018,1,,4.0,,Jedzenie,,Konto osobiste,
24,17-01-2018,1,,16.56,,Jedzenie,,Konto osobiste,
25,18-01-2018,1,,14.25,,Jedzenie,,Konto osobiste,
26,19-01-2018,0,Stypendium,1350.0,,Wyp�ata,Praca,Konto osobiste,
27,19-01-2018,1,Plus dlug,442.0,,Czynsz,Dom,Konto osobiste,
28,19-01-2018,0,,7.5,,,,Konto osobiste,
29,19-01-2018,1,,21.56,,Jedzenie,,Konto osobiste,
30,22-01-2018,1,,28.0,,Jedzenie,,Konto osobiste,
31,22-01-2018,1,,1.3,,Jedzenie,,Konto osobiste,
32,23-01-2018,1,,2.5,,Jedzenie,,Konto osobiste,
33,23-01-2018,1,,14.05,,Jedzenie,,Konto osobiste,
34,24-01-2018,1,,31.59,,Akcesoria,Elektronika,Konto osobiste,
35,24-01-2018,1,,17.26,,Restauracja,Jedzenie,Konto osobiste,
36,24-01-2018,1,,14.0,,Restauracja,Jedzenie,Konto osobiste,
37,25-01-2018,1,,16.04,,Jedzenie,,Konto osobiste,
38,26-01-2018,1,,7.73,,Jedzenie,,Konto osobiste,
39,29-01-2018,1,Telefon tato,130.9,,Telefon,Elektronika,Konto osobiste,
40,29-01-2018,1,,18.5,,Jedzenie,,Konto osobiste,
41,29-01-2018,1,,52.59,,Kosmetyki,Zdrowie i uroda,Konto osobiste,
42,29-01-2018,1,Telefon mama,35.76,,Telefon,Elektronika,Konto osobiste,
43,29-01-2018,1,,44.9,,Zdrowie i uroda,,Konto osobiste,
44,30-01-2018,1,,4.0,,Jedzenie,,Konto osobiste,
45,30-01-2018,1,,16.0,,Jedzenie,,Konto osobiste,
46,31-01-2018,1,,8.27,,Jedzenie,,Konto osobiste,
47,31-01-2018,1,,6.6,,Gry,Elektronika,Konto osobiste,
48,31-01-2018,1,,15.0,,Fryzjer,Zdrowie i uroda,Konto osobiste,
49,01-02-2018,1,,18.37,,Jedzenie,,Konto osobiste,
50,02-02-2018,1,,13.65,,Jedzenie,,Konto osobiste,
51,03-02-2018,1,,2.5,,Jedzenie,,Konto osobiste,
52,09-02-2018,1,,16.0,,Samoch�d,,Konto osobiste,
53,09-02-2018,1,,30.0,,Telefon,Elektronika,Konto osobiste,
54,13-02-2018,1,,38.04,,Jedzenie,,Konto osobiste,
55,13-02-2018,1,,23.48,,Zdrowie i uroda,,Konto osobiste,
56,14-02-2018,1,,8.57,,Jedzenie,,Konto osobiste,
57,15-02-2018,0,,1300.0,,Wyp�ata,Praca,Konto osobiste,
58,15-02-2018,1,,624.0,,Czynsz,Dom,Konto osobiste,
59,15-02-2018,1,,22.03,,Jedzenie,,Konto osobiste,
60,17-02-2018,1,,10.64,,Jedzenie,,Konto osobiste,
61,17-02-2018,1,,9.71,,Gry,Rozrywka,Konto osobiste,
62,18-02-2018,1,,24.0,,Gry,Rozrywka,Konto osobiste,
63,19-02-2018,1,,29.06,,Jedzenie,,Konto osobiste,
64,20-02-2018,1,,14.0,,Restauracja,Jedzenie,Konto osobiste,
65,20-02-2018,1,,12.13,,Jedzenie,,Konto osobiste,
66,20-02-2018,1,,78.0,,Ksi��ki,Rozrywka,Konto osobiste,
67,20-02-2018,1,Audiobook ,59.0,,Rozrywka,,Konto osobiste,
68,22-02-2018,1,,11.46,,Jedzenie,,Konto osobiste,
69,22-02-2018,1,,4.8,,Jedzenie,,Konto osobiste,
70,23-02-2018,1,,15.53,,Jedzenie,,Konto osobiste,
71,25-02-2018,1,,16.0,,Samoch�d,,Konto osobiste,
72,25-02-2018,1,,13.15,,Jedzenie,,Konto osobiste,
73,26-02-2018,1,,25.57,,Jedzenie,,Konto osobiste,
74,26-02-2018,0,,150.0,,,,Konto osobiste,
75,27-02-2018,1,,12.6,,Jedzenie,,Konto osobiste,
76,27-02-2018,1,,2.5,,Jedzenie,,Konto osobiste,
77,27-02-2018,1,,4.48,,Jedzenie,,Konto osobiste,
78,27-02-2018,1,Telefon mama ,35.65,,,,Konto osobiste,
79,27-02-2018,1,Telefon tata ,120.3,,,,Konto osobiste,
80,28-02-2018,1,,7.45,,Jedzenie,,Konto osobiste,
81,28-02-2018,1,,14.86,,Jedzenie,,Konto osobiste,
82,01-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
83,01-03-2018,1,,36.45,,Jedzenie,,Konto osobiste,
84,02-03-2018,1,,14.0,,Restauracja,Jedzenie,Konto osobiste,
85,02-03-2018,1,,18.18,,Jedzenie,,Konto osobiste,
86,05-03-2018,1,,5.0,,Jedzenie,,Konto osobiste,
87,05-03-2018,1,,17.64,,Jedzenie,,Konto osobiste,
88,06-03-2018,1,,18.75,,Jedzenie,,Konto osobiste,
89,06-03-2018,1,,8.07,,Jedzenie,,Konto osobiste,
90,07-03-2018,1,,5.6,,Jedzenie,,Konto osobiste,
91,07-03-2018,1,,20.74,,Jedzenie,,Konto osobiste,
92,07-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
93,08-03-2018,1,,10.96,,Jedzenie,,Konto osobiste,
94,09-03-2018,1,,14.18,,Jedzenie,,Konto osobiste,
95,09-03-2018,1,,14.84,,Jedzenie,,Konto osobiste,
96,09-03-2018,1,,22.04,,Jedzenie,,Konto osobiste,
97,10-03-2018,1,,7.17,,Jedzenie,,Konto osobiste,
98,10-03-2018,1,,7.97,,Jedzenie,,Konto osobiste,
99,11-03-2018,1,,9.95,,Jedzenie,,Konto osobiste,
100,12-03-2018,1,,21.93,,Jedzenie,,Konto osobiste,
101,12-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
102,12-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
103,13-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
104,13-03-2018,1,,16.16,,Jedzenie,,Konto osobiste,
105,13-03-2018,1,,9.78,,Jedzenie,,Konto osobiste,
106,14-03-2018,1,,3.2,,Jedzenie,,Konto osobiste,
107,14-03-2018,1,,8.46,,Jedzenie,,Konto osobiste,
108,15-03-2018,1,,3.2,,Jedzenie,,Konto osobiste,
109,15-03-2018,1,,10.97,,Jedzenie,,Konto osobiste,
110,16-03-2018,1,,21.85,,Jedzenie,,Konto osobiste,
111,18-03-2018,1,,21.0,,Restauracja,Jedzenie,Konto osobiste,
112,19-03-2018,1,,2.5,,Jedzenie,,Konto osobiste,
113,19-03-2018,1,,21.61,,Jedzenie,,Konto osobiste,
114,20-03-2018,1,,9.7,,Jedzenie,,Konto osobiste,
115,20-03-2018,1,,520.0,,Dom,,Konto osobiste,
116,20-03-2018,1,,14.37,,Jedzenie,,Konto osobiste,
117,20-03-2018,0,,1350.0,,Wyp�ata,Praca,Konto osobiste,
118,21-03-2018,1,,19.19,,Jedzenie,,Konto osobiste,
119,21-03-2018,1,,8.1,,Jedzenie,,Konto osobiste,
120,23-03-2018,1,,30.0,,Telefon,Elektronika,Konto osobiste,
121,23-03-2018,1,,12.99,,Kosmetyki,Zdrowie i uroda,Konto osobiste,
122,23-03-2018,1,,9.06,,Jedzenie,,Konto osobiste,
123,23-03-2018,1,,161.3,,Kurtki,Odzie�,Konto osobiste,
124,23-03-2018,1,,24.0,,Jedzenie,,Konto osobiste,
125,25-03-2018,0,Na telefon ,150.0,,,,Konto osobiste,
126,26-03-2018,1,,10.81,,Jedzenie,,Konto osobiste,
127,26-03-2018,1,,5.18,,Jedzenie,,Konto osobiste,
128,26-03-2018,1,,21.0,,Kino i teatr,Rozrywka,Konto osobiste,
129,27-03-2018,1,,59.7,,Restauracja,Jedzenie,Konto osobiste,
130,27-03-2018,1,,16.64,,Jedzenie,,Konto osobiste,
131,28-03-2018,1,,14.53,,Jedzenie,,Konto osobiste,
132,28-03-2018,1,,15.0,,Fryzjer,Zdrowie i uroda,Konto osobiste,
133,29-03-2018,1,,4.2,,Gry,Rozrywka,Konto osobiste,
134,29-03-2018,1,,155.0,,Telefon,Elektronika,Konto osobiste,
135,03-04-2018,1,,34.94,,Jedzenie,,Konto osobiste,
136,04-04-2018,1,,7.76,,Jedzenie,,Konto osobiste,
137,04-04-2018,1,,18.37,,Jedzenie,,Konto osobiste,
138,05-04-2018,1,Bilet,120.0,,,,Konto osobiste,
139,05-04-2018,1,,10.88,,Jedzenie,,Konto osobiste,
140,05-04-2018,1,,2.0,,Jedzenie,,Konto osobiste,
141,06-04-2018,1,,60.0,,Koszulki,Odzie�,Konto osobiste,
